,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
32,Gizo,IL,59.36,31.8,34.94,93,20,12.75
33,Verkhnevilyuysk,RU,-20.23,63.45,120.31,59,44,5.97
34,Hamilton,BM,64.4,32.3,-64.78,55,75,10.29
35,Pangnirtung,CA,-2.86,66.15,-65.72,72,48,5.97
36,Berlevag,NO,35.62,70.86,29.09,100,75,27.51
37,Kavieng,PG,85.12,-2.57,150.8,100,0,5.41
38,Souillac,FR,53.6,45.6,-0.6,93,90,4.7
39,Gorontalo,ID,73.83,0.54,123.06,98,12,1.95
40,Saskylakh,RU,-0.29,71.97,114.09,77,76,8.77
41,Ilulissat,GL,24.8,69.22,-51.1,45,75,17.22
42,Carnduff,CA,14.92,49.17,-101.8,73,68,8.66
43,Talnakh,RU,-8.21,69.49,88.39,64,48,9.78
44,Buchanan,LR,80.6,5.88,-10.05,88,75,7.2
45,Humaita,AR,57.2,-24.93,-65.37,100,90,11.41
46,Alofi,NU,86,-19.06,-169.92,66,75,13.87
47,Namibe,AO,72.88,-15.19,12.15,100,0,1.72
48,Aitape,PG,80.62,-3.15,142.36,100,64,3.18
49,Mount Gambier,AU,73.4,-37.83,140.78,43,68,9.17
50,Saint George,GR,37.56,39.45,22.34,80,20,4.7
51,Bluff,AU,71.85,-23.58,149.07,70,76,14.47
52,Anadyr,RU,-16.61,64.73,177.51,75,0,20.13
53,Hermanus,ZA,61.5,-34.42,19.24,66,92,9.78
54,Arroyo,US,29.37,41.39,-78.88,88,90,6.93
55,Yeppoon,AU,73.4,-23.13,150.74,73,40,17.22
56,Lazaro Cardenas,MX,71.6,28.39,-105.62,30,90,8.05
57,Tafresh,IR,35.44,34.69,50.01,95,32,3.18
58,Barrow,AR,60.78,-38.31,-60.23,48,8,8.21
59,Pisco,PE,71.6,-13.71,-76.2,30,0,21.92
60,Thompson,CA,-0.41,55.74,-97.86,84,75,5.82
61,Bilibino,RU,-37.55,68.06,166.44,0,12,2.17
62,Cape Town,ZA,64.4,-33.93,18.42,82,75,18.34
63,Nikolskoye,RU,33.8,59.7,30.79,97,90,6.71
64,Albany,US,33.84,42.65,-73.75,63,90,5.08
65,Hobart,AU,71.6,-42.88,147.33,46,75,3.36
66,Nanortalik,GL,31.93,60.14,-45.24,84,68,11.23
67,Hilo,US,78.08,19.71,-155.08,62,90,9.17
68,Longyearbyen,NO,30.2,78.22,15.63,74,75,11.41
69,Mus,FR,53.24,43.74,4.2,93,0,2.24
70,Atar,MR,73.2,20.52,-13.05,18,0,9.1
71,Castro,CL,71.6,-42.48,-73.76,37,0,11.41
72,Pelym,RU,6.01,61.01,62,74,0,2.95
73,Leh,IN,-14.24,34.16,77.58,77,48,1.61
74,Kjollefjord,NO,37.38,70.95,27.35,74,40,20.8
75,Pacific Grove,US,63.19,36.62,-121.92,54,1,4.63
76,Methoni,GR,61.81,36.82,21.7,100,32,2.73
77,Salalah,OM,75.2,17.01,54.1,73,20,4.7
78,Guerrero Negro,MX,69.78,27.97,-114.04,67,8,7.43
79,Rio Gallegos,AR,71.6,-51.62,-69.22,43,75,36.91
80,Gigmoto,PH,78.91,13.78,124.39,100,80,12.01
81,Badamdar,AZ,50,40.34,49.81,87,90,20.8
82,Manokwari,ID,82.06,-0.87,134.08,100,8,1.16
83,Port Hedland,AU,73.4,-20.31,118.58,88,0,4.7
84,Vila Vicosa,PT,40.98,38.78,-7.42,96,12,0.04
85,Half Moon Bay,US,60.57,37.46,-122.43,53,1,5.82
86,Ambon,FR,53.6,47.55,-2.56,100,90,10.29
87,Torbay,CA,26.6,47.66,-52.73,92,90,24.16
88,Bundoran,IE,48.4,54.48,-8.28,100,92,17.83
89,Gouloure,BF,77,12.23,-1.93,27,0,4.7
90,Sesheke,NA,71.58,-17.47,24.29,67,8,4.52
91,Prince Rupert,CA,35.6,54.32,-130.32,80,1,3.36
92,Hagere Selam,ET,60.06,6.48,38.52,66,88,2.95
93,Taloqan,AF,32.88,36.74,69.54,58,76,3.96
94,Ribeira Grande,PT,64.4,38.52,-28.7,88,75,6.93
95,Kushima,JP,52.12,31.5,131.29,76,75,11.41
96,Eureka,US,56.46,40.8,-124.16,62,1,6.93
97,Bredasdorp,ZA,62.6,-34.53,20.04,88,92,3.36
98,Pevek,RU,-3.8,69.7,170.27,100,44,5.75
99,Ponta do Sol,BR,73.2,-20.63,-46,87,24,2.51
100,Carutapera,BR,79.68,-1.2,-46.02,90,92,1.72
101,Uyuni,BO,66.58,-20.46,-66.82,9,0,11.68
102,Qaanaaq,GL,7.5,77.48,-69.36,100,76,2.62
103,Avarua,CK,82.4,-21.21,-159.78,58,40,10.29
104,Adrar,DZ,60.8,27.87,-0.29,38,0,14.99
105,Flinders,AU,68,-34.58,150.85,60,20,8.05
106,Dikson,RU,4.84,73.51,80.55,100,76,18.16
107,Roald,NO,33.6,62.58,6.12,69,0,14.99
108,Sao Joao da Barra,BR,78.8,-21.64,-41.05,65,0,11.41
109,Mahebourg,MU,73.4,-20.41,57.7,88,20,3.36
110,Coihaique,CL,80.6,-45.58,-72.07,30,0,5.82
111,Chuy,UY,63.79,-33.69,-53.46,77,44,20.29
112,Sorsk,RU,-36.25,54,90.25,0,0,2.95
113,Mount Isa,AU,80.6,-20.73,139.49,54,0,12.75
114,Provideniya,RU,12.2,64.42,-173.23,78,90,33.55
115,Mar del Plata,AR,83.5,-46.43,-67.52,25,12,2.95
116,Ambanja,MG,69.01,-13.68,48.45,98,88,3.06
117,Warrington,GB,52.2,53.39,-2.59,93,75,3.36
118,Azare,NG,67.84,11.67,10.19,35,0,9.1
119,Vitim,RU,-21.44,59.44,112.57,61,64,7.76
120,East London,ZA,72.43,-33.02,27.91,100,20,9.22
121,Cumra,TR,37.4,37.57,32.77,100,90,23.04
122,Katsuura,JP,50,33.93,134.5,87,75,9.17
123,Tisnov,CZ,30.97,49.35,16.42,99,90,3.36
124,Tibiri,NE,68.02,13.59,7.06,28,0,10.78
125,Saint Anthony,US,24.64,43.97,-111.68,61,90,3.96
126,Khandyga,RU,-41.11,62.65,135.58,92,12,2.73
127,Saint-Joseph,FR,44.6,43.56,6.97,93,0,3.18
128,Cabo San Lucas,MX,81.61,22.89,-109.91,54,90,3.36
129,Dromolaxia,CY,54.1,34.88,33.59,87,20,3.36
130,Arlit,NE,61.23,18.74,7.39,41,0,6.98
131,Ostrovnoy,RU,26.76,68.05,39.51,93,80,18.84
132,Ilo,PE,73.4,-17.65,-71.34,69,0,11.41
133,Upernavik,GL,23.7,72.79,-56.15,100,68,8.77
134,Kudat,MY,78.8,6.89,116.84,94,75,2.39
135,Ozinki,RU,22.66,51.2,49.73,90,92,10.67
136,Shelburne,CA,32.29,44.08,-80.2,80,90,4.7
137,Yurty,RU,-27.2,56.05,97.64,42,0,2.39
138,Hearst,CA,-4.03,49.69,-83.67,52,0,4.97
139,Tokomaru,NZ,52,-40.47,175.51,84,88,7.76
140,Jumla,NP,15.78,29.28,82.18,100,0,1.72
141,Praia,BR,78.66,-20.25,-43.81,54,40,11.41
142,Bethel,US,33.98,60.79,-161.76,96,90,12.75
143,Grindavik,IS,38.48,63.84,-22.43,86,75,21.92
144,Saint-Georges,CA,24.64,46.12,-70.67,84,80,4.41
145,Irbeyskoye,RU,-38.09,55.64,95.45,0,0,2.95
146,Goure,NE,68.43,13.98,10.27,24,0,10.45
147,Laguna,MX,73.4,27.52,-110.01,49,75,5.82
148,Yamada,JP,54.7,36.58,137.08,76,75,11.41
149,Amuntai,ID,74.41,-2.42,115.25,97,24,2.06
150,Manta,RO,26.89,45.1,24.1,99,68,2.62
151,Tuktoyaktuk,CA,12.2,69.44,-133.03,85,90,16.11
152,Alindao,CF,69.78,5.04,21.21,64,0,6.42
153,Surt,LY,58.35,31.21,16.59,100,0,0.49
154,Nyaregyhaza,HU,32.02,47.26,19.5,86,0,4.7
155,Orzhytsya,UA,30.67,49.79,32.7,96,92,13.8
156,Port Elizabeth,US,38.71,39.31,-74.98,58,1,5.82
157,Sayan,YE,66.22,15.88,43.46,93,0,2.51
158,Klaksvik,FO,44.6,62.23,-6.59,93,12,5.82
159,Jardim,BR,86.92,-21.48,-56.15,63,20,4.97
160,Lima,PE,73.4,-12.06,-77.04,69,0,13.87
161,Road Town,VG,82.71,18.42,-64.62,74,40,6.93
162,Brae,GB,49.21,60.4,-1.35,87,44,16.11
163,Sumbe,AO,77.02,-11.2,13.84,97,8,8.21
164,Khatanga,RU,-3.35,71.98,102.47,77,92,12.46
165,Vaini,IN,66.58,15.34,74.49,91,56,2.51
166,Tasiilaq,GL,21.2,65.61,-37.64,62,0,2.24
167,Verkhoyansk,RU,-48.08,67.55,133.39,0,20,0.72
168,Kaitangata,NZ,58.39,-46.28,169.85,74,0,11.23
169,Pacifica,US,60.48,37.61,-122.49,45,1,9.17
170,Hualmay,PE,72.66,-11.1,-77.61,65,20,6.53
171,Ambilobe,MG,70.68,-13.19,49.05,93,48,5.08
172,Narsaq,GL,22.8,60.91,-46.05,83,88,4.63
173,Praia da Vitoria,PT,60.8,38.73,-27.07,87,20,13.13
174,Pare,ID,71.85,-7.77,112.2,95,20,2.73
175,Karangasem,ID,79.95,-6.7,108.49,100,44,4.74
176,Port Lincoln,AU,67.12,-34.72,135.86,85,92,15.82
177,Vardo,US,40.41,39.62,-77.74,48,20,8.05
178,Ulladulla,AU,68,-35.36,150.48,60,20,8.05
179,Daru,SL,85.35,7.99,-10.85,50,88,5.53
180,Constitucion,MX,73.4,23.99,-104.67,23,90,18.34
181,Igrim,RU,17.17,63.19,64.42,86,8,6.08
182,Morondava,MG,78.33,-20.3,44.28,91,0,1.39
183,Khvastovichi,RU,27.97,53.47,35.09,90,92,10.78
184,Airai,TL,66.63,-8.93,125.41,87,0,0.72
185,New Norfolk,AU,71.6,-42.78,147.06,46,75,3.36
186,Kindu,CD,75.04,-2.95,25.92,87,44,2.39
187,Esperance,TT,82.4,10.24,-61.45,65,20,12.75
188,Coquimbo,CL,66.2,-29.95,-71.34,68,20,13.87
189,Kolosovka,RU,6.37,56.47,73.61,81,92,6.98
190,Lydenburg,ZA,63.48,-25.1,30.46,83,24,2.06
191,Thinadhoo,MV,83.01,0.53,72.93,100,64,7.99
192,Livingston,US,55.33,32.58,-88.19,31,1,3.51
193,Arraial do Cabo,BR,77,-22.97,-42.02,69,75,8.05
194,Bilma,NE,56.14,18.69,12.92,49,64,5.97
195,Maldonado,UY,60.8,-34.91,-54.96,59,75,14.99
196,Kiboga,UG,65.59,0.92,31.77,91,8,2.73
197,Ambo,ET,44.85,8.98,37.86,75,0,2.17
198,North Bend,US,55.04,43.41,-124.22,52,1,5.82
199,Iqaluit,CA,-5.81,63.75,-68.52,70,75,4.7
200,Dunedin,NZ,56.91,-45.87,170.5,71,0,3.62
201,Zarichne,UA,24.91,51.81,26.13,93,68,3.18
202,Port Alfred,ZA,71.62,-33.59,26.89,90,92,12.68
203,Cidreira,BR,69.82,-30.17,-50.22,65,64,13.13
204,Palembang,ID,73.06,-2.99,104.76,98,80,3.18
205,Luba,PH,66.13,17.32,120.7,79,0,2.62
206,Alice Springs,AU,75.2,-23.7,133.88,27,0,4.63
207,Taltal,CL,67.66,-25.41,-70.49,53,20,3.62
208,Mattawa,CA,19.4,46.32,-78.7,92,75,19.46
209,Storsteinnes,NO,29.75,69.24,19.23,86,90,19.46
210,Jaciara,BR,88.68,-15.95,-54.98,54,36,4.63
211,Longhua,CN,45.61,29.21,106.21,98,100,5.97
212,Ketchikan,US,34.03,55.34,-131.65,88,1,5.82
213,Harper,US,58.35,30.3,-99.24,94,90,7.54
214,Norman Wells,CA,8.6,65.28,-126.83,92,75,6.93
215,Iskateley,RU,27.21,67.68,53.15,88,76,16.15
216,Ardakan,IR,59,32.31,54.02,26,20,4.7
217,La Seyne-sur-Mer,FR,49.44,43.1,5.88,93,0,3.36
218,Cilaos,RE,70.68,-21.13,55.47,64,0,5.82
219,Tiksi,RU,-31.43,71.64,128.87,53,24,2.73
220,Nkoteng,CM,85.26,4.5,12.12,42,92,6.08
221,Sandwick,GB,42.8,54.57,-2.89,100,92,9.17
222,Minsk,BY,24.8,53.9,27.56,100,90,6.71
223,Chirpar,RO,22.15,45.9,24.6,92,8,1.12
224,Ondjiva,AO,69.46,-17.07,15.73,82,36,10
225,Aleksandrow Kujawski,PL,33.8,52.88,18.69,99,90,8.05
226,Hwange,ZW,68.43,-18.35,26.5,84,44,12.01
227,Kodiak,US,28.15,39.95,-94.76,65,1,9.17
228,Bonthe,SL,84.13,7.53,-12.5,73,32,3.62
229,Shitanjing,CN,-20.36,39.23,106.34,50,0,1.72
230,Russell,AR,57.63,-33.01,-68.8,88,24,3.06
231,Nome,US,57.92,30.04,-94.42,86,90,10.29
232,Nanakuli,US,79.63,21.39,-158.15,62,90,12.75
233,Batemans Bay,AU,65.59,-35.71,150.18,85,0,7.43
234,Yilan,TW,65.37,24.75,121.75,93,75,24.16
235,Athabasca,CA,16.41,54.72,-113.29,82,0,5.53
236,Oranjestad,AW,82.4,12.52,-70.03,65,20,18.34
237,Moa,CU,76.12,20.66,-74.95,79,68,4.18
238,Kalyazin,RU,26.89,57.24,37.84,95,88,6.76
239,Ushumun,RU,-16.4,52.78,126.54,47,12,7.65
240,Carnarvon,ZA,65.46,-30.97,22.13,21,92,11.56
241,San Andres,PH,81.25,13.32,122.68,100,0,15.59
242,Qiongshan,CN,75.2,20.01,110.35,94,75,2.24
243,Codrington,AU,66.92,-28.95,153.24,88,40,2.24
244,Omboue,GA,77.43,-1.57,9.26,100,88,7.54
245,Faanui,PF,81.43,-16.48,-151.75,100,92,15.48
246,Diu,IN,60.55,20.71,70.98,89,0,2.95
247,Kluczbork,PL,35.44,50.97,18.21,92,92,10.45
248,Niamey,NE,75.2,13.52,2.11,19,0,4.7
249,Jiwani,PK,63.43,25.05,61.74,92,0,4.63
250,Cap Malheureux,MU,73.4,-19.98,57.61,88,20,3.36
251,Aklavik,CA,14.38,68.22,-135.01,85,75,6.93
252,Hastings,NZ,56.68,-39.64,176.84,100,48,21.74
253,Semey,KZ,-18.7,50.41,80.25,81,0,3.62
254,Te Anau,NZ,56.77,-45.41,167.72,70,0,3.51
255,Yar-Sale,RU,16.09,66.83,70.83,95,76,3.62
256,Kayes,ML,78.51,14.44,-11.44,32,0,7.76
257,Bonga,ET,57.9,7.26,36.25,96,48,2.17
258,Sur,OM,72.7,22.57,59.53,100,0,5.64
259,Yulara,AU,71.6,-25.24,130.99,56,0,4.7
260,Nyurba,RU,-18.47,63.29,118.35,80,64,6.08
261,Chincholi,IN,69.33,17.47,77.42,92,24,6.2
262,Koryazhma,RU,28.51,61.32,47.16,89,92,8.66
263,Martapura,ID,75.2,-3.41,114.85,94,24,2.24
264,Perth,GB,45.46,56.4,-3.43,87,75,10.29
265,Saldanha,PT,32.83,41.42,-6.55,95,48,2.51
266,Nouadhibou,MR,71.6,20.93,-17.03,37,0,9.17
267,Plettenberg Bay,ZA,64.6,-34.05,23.37,93,92,12.57
268,Sitka,US,35.89,37.17,-99.65,54,56,15.14
269,Phalombe,MW,73.51,-15.81,35.65,83,32,4.41
270,Bubaque,GW,82.78,11.28,-15.83,96,56,7.99
271,Iracoubo,GF,72.25,5.48,-53.21,99,92,4.52
272,Elbistan,TR,28.78,38.2,37.19,87,44,2.73
273,Stanovoye,RU,25.27,52.76,38.34,97,92,5.97
274,Riyadh,SA,64.4,24.63,46.72,45,0,8.05
275,Beloha,MG,73.33,-25.17,45.06,81,0,14.58
276,Tuatapere,NZ,58.39,-46.13,167.69,86,24,5.75
277,Vilhena,BR,78.8,-12.74,-60.15,78,75,9.17
278,Mairana,BO,64.11,-18.12,-63.96,92,76,3.06
279,Mgandu,TZ,73.56,-5.96,34.11,56,76,9.78
280,Las Lomas,PE,87.82,-4.66,-80.24,36,0,10.11
281,Sassandra,CI,82.24,4.95,-6.09,100,12,6.76
282,San Policarpo,PH,80.44,12.18,125.51,94,88,15.82
283,Hithadhoo,MV,83.14,-0.6,73.08,100,80,9.55
284,Lavrentiya,RU,23.92,65.58,-170.99,100,88,41.32
285,Ust-Nera,RU,-21.58,64.57,143.24,84,64,2.06
286,Ngunguru,NZ,63.48,-35.62,174.5,93,36,15.14
287,Eirunepe,BR,86.16,-6.66,-69.87,73,20,2.39
288,Port-Gentil,GA,80.6,-0.72,8.78,94,90,11.41
289,Shingu,JP,59.02,33.72,135.99,100,92,17.27
290,Kamenka,RU,14.92,53.19,44.05,92,80,4.63
291,Murray Bridge,AU,74.5,-35.12,139.28,51,32,13.58
292,Leningradskiy,RU,3.22,69.38,178.42,94,44,18.28
293,Mecca,SA,52.72,21.43,39.83,80,0,4.07
294,Goderich,CA,32.56,43.74,-81.71,87,80,18.05
295,Ericeira,PT,55.08,38.96,-9.42,87,0,9.17
296,Cherskiy,RU,-31.34,68.75,161.3,54,24,2.73
297,Flin Flon,CA,10.4,54.77,-101.88,78,75,4.7
298,Chapais,CA,17.6,49.78,-74.86,85,90,5.82
299,Roebourne,AU,71.98,-20.77,117.15,38,0,3.96
300,Haines Junction,CA,13.53,60.75,-137.51,82,64,2.73
301,Quime,BO,66.76,-16.98,-67.22,45,36,1.72
302,Amahai,ID,83.28,-3.31,129,100,0,3.96
303,Kavaratti,IN,83.32,10.57,72.64,100,20,7.09
304,Omsukchan,RU,-16.13,62.53,155.8,87,56,3.06
305,Kaeo,NZ,66,-35.1,173.78,62,0,9.1
306,Chute-aux-Outardes,CA,17.6,49.12,-68.38,85,90,3.36
307,Nelson Bay,AU,69.8,-32.72,152.14,56,20,9.17
308,Yvetot,FR,53.01,49.62,0.75,87,90,16.11
309,San Patricio,PY,78.19,-26.98,-56.83,58,12,7.99
310,Terrace Bay,CA,3.2,48.78,-87.1,59,20,5.82
311,Bathsheba,BB,80.6,13.22,-59.52,65,20,14.99
312,Yushan,CN,37.4,31.68,118.49,100,90,6.71
313,Tashtyp,RU,-33.1,52.8,89.89,56,8,2.17
314,Vikhorevka,RU,-25.61,56.12,101.17,67,32,2.62
315,Shimoda,JP,57.2,34.7,138.93,62,75,18.34
316,Sao Felix do Xingu,BR,76.71,-6.64,-51.99,97,76,1.95
317,Freeport,BS,73.4,26.54,-78.7,53,40,11.41
318,Kampot,KH,76.12,10.62,104.18,94,20,1.12
319,Geraldton,CA,-0.41,49.72,-86.95,64,75,3.36
320,Gushi,CN,33.6,32.17,115.65,87,92,13.02
321,Guarapari,BR,78.8,-20.67,-40.5,83,40,12.75
322,College,US,10.67,64.86,-147.8,89,1,1.5
323,Vao,EE,33.15,59.1,26.19,99,56,7.43
324,Port Blair,IN,84.9,11.67,92.75,96,56,9.66
325,Galle,US,59.23,29.74,-97.91,92,90,4.7
326,Dobrinka,RU,23.02,52.17,40.48,96,92,3.62
327,Dhamtari,IN,64.4,20.71,81.55,77,0,5.82
328,Egvekinot,RU,-8.71,66.32,-179.17,63,24,10
329,Bodo,CI,75.22,5.91,-4.68,94,24,5.41
330,Jati,PK,56.91,24.35,68.27,81,0,3.4
331,Portland,US,44.64,45.52,-122.67,43,1,10.29
332,Cairns,AU,80.6,-16.92,145.77,78,75,16.11
333,Cayenne,GF,77,4.94,-52.33,94,100,6.08
334,Miles City,US,21.02,46.41,-105.84,70,1,5.75
335,Ullapool,GB,48.4,57.9,-5.16,100,88,18.05
336,Moindou,NC,73.4,-21.69,165.68,94,75,9.17
337,Stargard Szczecinski,PL,41,53.34,15.05,93,90,4.7
338,Nogliki,RU,0.88,51.8,143.14,100,24,17.05
339,Necochea,AR,56.23,-38.55,-58.74,76,0,9.44
340,Spring Valley,US,37.58,41.11,-74.04,51,20,5.82
341,Elverum,NO,24.64,60.88,11.56,100,92,2.51
342,Abu Samrah,SY,50.2,35.3,37.18,76,56,8.43
343,Maceio,BR,78.8,-9.67,-35.74,78,40,11.41
344,Inyonga,TZ,65.91,-6.72,32.06,88,32,2.73
345,Lorengau,PG,83.68,-2.02,147.27,100,0,5.75
346,Kerema,PG,76.53,-7.96,145.78,79,8,1.16
347,Yeniseysk,RU,-24.91,58.45,92.17,38,44,5.64
348,Westport,IE,49.35,53.8,-9.52,100,92,17.6
349,Panguna,PG,78.64,-6.32,155.48,90,48,3.4
350,Hofn,IS,40.53,64.25,-15.21,100,92,18.5
351,Srednekolymsk,RU,-34.9,67.46,153.71,66,20,1.95
352,Umea,SE,10.4,63.83,20.26,92,0,10
353,Hobyo,SO,77.88,5.35,48.53,90,44,9.1
354,Chateaubelair,VC,80.87,13.28,-61.25,74,20,14.99
355,Makakilo City,US,79.61,21.35,-158.09,47,20,8.05
356,Kununurra,AU,80.6,-15.77,128.74,88,0,7.2
357,Qasigiannguit,GL,24.8,68.82,-51.19,45,75,17.22
358,Padang,ID,76.12,-0.92,100.36,100,92,7.2
359,Bela,PK,42.37,26.23,66.31,81,0,2.95
360,Lagoa,PT,60.8,37.14,-8.45,72,0,3.36
361,San Cristobal,EC,66.2,-0.39,-78.55,55,40,19.46
362,Cockburn Town,TC,80.58,21.46,-71.14,100,64,11.23
363,Buala,SB,81.25,-8.15,159.59,100,20,2.62
364,Pemba,MZ,84.85,-12.97,40.52,95,0,7.43
365,Arukula,EE,32,59.36,25.08,100,90,11.41
366,Isoka,ZM,64.78,-10.15,32.64,80,24,6.2
367,Zhigansk,RU,-43,66.77,123.37,0,36,3.4
368,Kruisfontein,ZA,65.59,-34,24.73,88,88,20.29
369,General Pico,AR,73.11,-35.66,-63.75,44,0,6.98
370,Tessalit,ML,61.9,20.2,1.01,28,0,10
371,Melfi,IT,42.15,41,15.66,86,90,11.41
372,Hokitika,NZ,59.47,-42.72,170.96,92,0,6.98
373,Ternate,PH,78.8,14.29,120.72,78,20,2.24
374,Pimentel,BR,80.26,-3.7,-45.5,72,92,2.62
375,Mionica,RS,26.08,44.25,20.09,73,0,3.36
376,Kokopo,PG,82.78,-4.34,152.27,100,36,4.63
377,Sorong,ID,82.96,-0.86,131.25,100,20,1.16
378,Sambava,MG,77.7,-14.27,50.17,100,64,8.55
379,Sompeta,IN,63.52,18.93,84.6,87,24,2.17
380,Puerto Escondido,MX,86,15.86,-97.07,70,40,6.93
381,Puerto Morazan,NI,89.31,12.85,-87.17,44,0,12.8
382,Shahi,IN,51.37,28.55,79.32,89,0,2.51
383,Saint-Augustin,FR,53.6,44.83,-0.61,93,75,5.82
384,Pato Branco,BR,78.33,-26.23,-52.67,41,0,14.58
385,Sao Sebastiao,BR,82.33,-3.15,-58.36,81,48,4.07
386,Pinawa,CA,-1.73,50.15,-95.88,81,12,7.65
387,Mulege,MX,67.48,26.88,-111.98,87,88,5.75
388,Mumford,GH,80.76,5.26,-0.76,82,8,7.65
389,Sisimiut,GL,14.61,66.94,-53.67,100,88,2.17
390,Gravdal,NO,43.27,59.79,5.78,93,75,5.82
391,Newton,US,24.58,41.7,-93.05,69,75,10.29
392,Clarksburg,US,35.1,39.28,-80.34,61,90,13.87
393,Neyshabur,IR,35.58,36.21,58.79,77,24,2.95
394,El Viso del Alcor,ES,51.51,37.39,-5.72,93,0,3.36
395,Naze,NG,77.11,5.43,7.07,60,24,4.52
396,Severo-Kurilsk,RU,29.1,50.68,156.12,100,68,13.13
397,Denpasar,ID,80.6,-8.65,115.22,88,75,5.82
398,Ormara,PK,70.27,25.21,64.64,95,0,5.75
399,Drahovo,UA,28.4,48.24,23.55,79,0,4.7
400,Churapcha,RU,-32.51,62,132.43,56,32,3.51
401,Alta Floresta,BR,78.78,-9.87,-56.08,84,80,2.06
402,Springbok,ZA,57.67,-29.67,17.88,53,92,3.06
403,Dagana,MR,80.6,16.52,-15.51,36,0,2.24
404,Lakes Entrance,AU,71.76,-37.88,147.99,76,8,8.43
405,Oron,NG,82.15,4.81,8.23,72,24,7.54
406,Bonita Springs,US,73.18,26.35,-81.82,43,5,10.29
407,Moron,VE,76.35,10.49,-68.2,69,68,4.41
408,Bentong,MY,77,3.52,101.91,94,75,3.36
409,Fortuna,ES,50.9,38.18,-1.13,87,0,4.7
410,Smoky Lake,CA,12.4,54.11,-112.47,80,0,8.66
411,Hambantota,LK,75.2,6.12,81.12,100,75,4.7
412,Romitan,UZ,37.4,39.93,64.38,86,76,4.7
413,Smolenka,PL,28.06,54.15,22.76,100,80,12.68
414,Lere,TD,73.56,9.66,14.23,36,0,10.56
415,Perni,GR,43,41,24.64,100,80,7.2
416,Abakaliki,NG,76.21,6.32,8.11,39,0,6.2
417,Rosario,UY,64.38,-34.31,-57.35,48,0,15.03
418,Araouane,ML,64.42,18.9,-3.53,24,0,8.99
419,Pudozh,RU,29.23,61.81,36.54,92,80,9.78
420,Toppenish,US,31.57,46.38,-120.31,83,90,6.93
421,Havre-Saint-Pierre,CA,17.6,50.23,-63.6,85,90,3.36
422,Pascagoula,US,55.13,30.37,-88.56,48,40,6.93
423,Amazar,RU,-28.51,53.86,120.88,42,0,3.06
424,Puerto Ayacucho,CO,93.2,5.66,-67.63,46,20,6.93
425,Vila Velha,BR,82.4,-3.71,-38.6,78,40,6.93
426,Bayan,MN,-21.58,47.25,107.54,53,0,14.25
427,Jiuquan,CN,-27.92,39.73,98.49,34,0,1.16
428,Ugoofaaru,MV,81.34,5.67,73,100,32,7.99
429,Mananjary,MG,61.18,-19.16,46.8,94,100,5.41
430,Lockport,CA,5,50.09,-96.94,65,75,10.29
431,Sheregesh,RU,-29.09,52.93,87.98,45,24,2.39
432,Itarema,BR,77.47,-2.92,-39.92,95,76,2.51
433,Aksarka,RU,16,66.56,67.8,90,80,4.97
